Control ID,Name,Category,Status,Evidence Count,Collected Evidence,Last Reviewed
A.8.1,User Endpoint Devices,Technological,In Progress,5,"Admin Check: BitLocker Encryption, System Check: BitLocker Encryption, System Check: Secure Boot, System Check: Prohibited Software, System Check: Credential Guard, System Check: Device Guard/WDAC, System Check: Exploit Protection (DEP/ASLR), System Check: Attack Surface Reduction, System Check: Controlled Folder Access, System Check: BitLocker Encryption, System Check: Secure Boot, System Check: Prohibited Software, System Check: Credential Guard, System Check: Device Guard/WDAC, System Check: Exploit Protection (DEP/ASLR), System Check: Attack Surface Reduction, System Check: Controlled Folder Access, Admin Check: BitLocker Encryption, Admin Check: BitLocker Encryption, System Check: BitLocker Encryption, System Check: Secure Boot, System Check: Prohibited Software, System Check: Credential Guard, System Check: Device Guard/WDAC, System Check: Exploit Protection (DEP/ASLR), System Check: Attack Surface Reduction, System Check: Controlled Folder Access",2026-05-15
A.8.2,Privileged Access Rights,Technological,Implemented,5,"Admin Check: Local Administrator Accounts, System Check: Password Policy (Min Length), System Check: Guest Account Disabled, System Check: User Access Control, System Check: Local Administrator Auditing, System Check: Password Policy (Min Length), System Check: Guest Account Disabled, System Check: User Access Control, System Check: Local Administrator Auditing, Admin Check: Local Administrator Accounts, Admin Check: Local Administrator Accounts, System Check: Password Policy (Min Length), System Check: Guest Account Disabled, System Check: User Access Control, System Check: Local Administrator Auditing",2026-05-15
A.8.3,Information Access Restriction,Technological,Implemented,3,"System Check: Device Guard/WDAC, System Check: USB Mass Storage Access, System Check: Device Guard/WDAC, System Check: USB Mass Storage Access, System Check: Device Guard/WDAC, System Check: USB Mass Storage Access",2023-11-10
A.8.7,Protection against Malware,Technological,Implemented,5,"Admin Check: Windows Defender Antivirus, System Check: Windows Defender Antivirus, System Check: Attack Surface Reduction, System Check: Windows Defender Antivirus, System Check: Attack Surface Reduction, Admin Check: Windows Defender Antivirus, Admin Check: Windows Defender Antivirus, System Check: Windows Defender Antivirus, System Check: Attack Surface Reduction",2026-05-15
A.8.8,Management of Technical Vulnerabilities,Technological,Implemented,5,"Admin Check: Security Patch Status, System Check: Windows Update Service, System Check: SMBv1 Protocol Disabled, System Check: Exploit Protection (DEP/ASLR), System Check: Windows Update Service, System Check: SMBv1 Protocol Disabled, System Check: Exploit Protection (DEP/ASLR), Admin Check: Security Patch Status, Admin Check: Security Patch Status, System Check: Windows Update Service, System Check: SMBv1 Protocol Disabled, System Check: Exploit Protection (DEP/ASLR)",2026-05-15
A.8.9,Configuration Management,Technological,In Progress,0,None,2023-11-12
A.8.10,Information Deletion,Technological,Not Implemented,3,"System Check: Information Deletion & Disposal Simulation, System Check: Information Deletion & Disposal Simulation, System Check: Information Deletion & Disposal Simulation",2023-11-13
A.8.12,Data Leakage Prevention,Technological,Not Implemented,2,"System Check: Data Leakage Prevention Simulation, System Check: Data Leakage Prevention Simulation",2023-11-14
A.8.13,Information Backup,Technological,In Progress,5,"Admin Check: Data Backup & Recovery Simulation, System Check: Data Backup & Recovery Simulation, System Check: Data Backup & Recovery Simulation, Admin Check: Data Backup & Recovery Simulation, Admin Check: Data Backup & Recovery Simulation, System Check: Data Backup & Recovery Simulation",2026-05-15
A.8.16,Monitoring Activities,Technological,Implemented,5,"Admin Check: PowerShell Script Block Logging, System Check: Audit Logging Policy, System Check: Audit Logging Policy, Admin Check: PowerShell Script Block Logging, Admin Check: PowerShell Script Block Logging, System Check: Audit Logging Policy",2026-05-15
A.8.24,Use of Cryptography,Technological,Implemented,5,"Admin Check: Cryptographic Controls Extension Simulation, System Check: BitLocker Encryption, System Check: TLS Security Config, System Check: Cryptographic Controls Extension Simulation, System Check: BitLocker Encryption, System Check: TLS Security Config, System Check: Cryptographic Controls Extension Simulation, Admin Check: Cryptographic Controls Extension Simulation, Admin Check: Cryptographic Controls Extension Simulation, System Check: BitLocker Encryption, System Check: TLS Security Config, System Check: Cryptographic Controls Extension Simulation",2026-05-15
A.8.28,Secure Coding,Technological,In Progress,2,"System Check: Secure Development & Coding Simulation, System Check: Secure Development & Coding Simulation",2023-11-20
A.9.4.1,Password Policy,Technological,Implemented,0,None,2023-11-22
A.12.6.1,Software Updates,Technological,Implemented,0,None,2023-11-25
